,X1,X1_1,Name,Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee_km,Apogee_km,Eccentricity,Inclination (degrees),Period (minutes),Launch,Dry,Power (watts),Date,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,launch_date,launch_year,Launch Year
41,41,41,Aerocube 8B,Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,356,700,0.0249,55,95.19,5,NA,NA,5/20/15,NA,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/20/15,2015,2015
42,42,42,Aerocube 8C,Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Sun-Synchronous,0,569,584,0.00108,97.9,96.2,5,NA,NA,11/11/16,NA,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067F,41853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/11/16,2016,2016
43,43,43,Aerocube 8D,Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Navigation/Technology,NA,LEO,Sun-Synchronous,0,572,584,0.000864,98,96.23,2,NA,NA,11/11/16,NA,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/11/16,2016,2016
44,44,44,"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Eutelsat 48D,France,Multinational,EUTELSAT S.A.,Commercial,Communication,NA,GEO,NA,48,35764,35808,0.000522,0.12,1436.08,3460,1555,"7,000",12/20/08,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/20/08,2008,2008
45,45,45,AIM (Aeronomy of Ice in Mesosphere),AIM,USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation/Science,Earth Science,LEO,Sun-Synchronous,0,544,552,0.000578,97.9,96.2,215,197,216,4/25/07,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/25/07,2007,2007
46,46,46,AISat-1,AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communication,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,643,660,0.00121,98.25,97.76,14,NA,NA,6/30/14,NA,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Satellite equipped with AIS tracking.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/14,2014,2014
47,47,47,AISSat-1 (Automatic Identification System Satellite-1),AISSat-1,Norway,Norway,Norwegian Coastal Admnistration,Government,Communication,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,615,632,0.00122,98,97.2,6,NA,NA,7/12/10,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/12/10,2010,2010
48,48,48,AISSat-2 (Automatic Identification System Satellite-2),AISSat-2,Norway,Norway,Norwegian Coastal Admnistration,Government,Communication,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,625,631,0.000429,98.4,97.27,6,NA,NA,7/8/14,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Second in the series.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/8/14,2014,2014
49,49,49,AIST-1,AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Navigation/Technology,NA,LEO,Polar,0,599,626,0.00193,82.4,96.9,NA,NA,NA,12/28/13,NA,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/28/13,2013,2013
50,50,50,AIST-2,AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Navigation/Technology,NA,LEO,Non-Polar Inclined,0,558,582,0.00173,64.88,96.06,53,NA,NA,4/19/13,3,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/19/13,2013,2013
51,51,51,AIST-2D,AIST-2D,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Navigation/Technology,NA,LEO,Sun-Synchronous,0,471,486,0.0011,97.28,94.18,531,NA,NA,4/27/16,NA,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/27/16,2016,2016
52,52,52,AISTechSat-2,AISTechSat-2,NR,Spain,AISTech,Commercial,Earth Observation/Science,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,574,592,0.00129,97.8,96.4,3,NA,NA,12/3/18,NA,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/3/18,2018,2018
53,53,53,AISTechSat-3,AISTechSat-3,Spain,Spain,AISTech,Commercial,Earth Observation/Science,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,490,506,0.00116,97.5,94.6,2,NA,NA,4/1/19,NA,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2019-018AB,44103,Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/1/19,2019,2019
54,54,54,Al Yah-3,Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communication,NA,GEO,NA,-20,35777,35796,0.000225,0,1436,3795,NA,NA,1/25/18,15,Orbital ATK,USA,Guiana Space Center,Ariane 5,2018-012A,43174,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/25/18,2018,2018
55,55,55,Alcomsat (Algerian Communications Satellite),Alcomsat,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communication,NA,GEO,NA,-24.8,35744,35798,0.000641,0.04,1436.1,5225,NA,NA,12/10/17,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2017-078A,43039,Algeria's first communications satellite.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/10/17,2017,2017
56,56,56,ALE-2 (Astro Live Experiences-2),ALE-2,NR (12/20),Japan,Astro Live Experiences,Commercial,Earth Observation/Science,NA,LEO,Sun-Synchronous,0,397,414,0.00125,97.01,92.06,75,NA,NA,12/6/19,NA,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron,2019-084A,44824,Planned display of colorful meteor-like lights for Tokyo Summer Olympics.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/6/19,2019,2019
57,57,57,Al-Farabi-2,Al-Farabi-2,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Navigation/Technology,NA,LEO,Sun-Synchronous,0,573,589,0.00115,97.7,96.2,4,NA,NA,12/3/18,NA,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805,Technology demonstration mission.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/3/18,2018,2018
58,58,58,ALiCE  (AFIT LEO iMESA CNT E),ALiCE,NR,USA,US Air Force Institute of Technology,Military,Navigation/Technology,NA,LEO,Polar,0,443,886,0.0315,120.3,98,5,NA,NA,12/6/13,NA,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/6/13,2013,2013
59,59,59,Alsat 2B,Alsat-2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation/Science,Optical Imaging,LEO,Sun-Synchronous,0,646,660,0.000997,98.2,97.7,117,NA,NA,9/26/16,5,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Surveillance.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/26/16,2016,2016
60,60,60,Alsat-1B,Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation/Science,Optical Imaging,LEO,Sun-Synchronous,0,661,704,0.00305,98.2,98.4,103,NA,NA,9/26/16,5,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/26/16,2016,2016
61,61,61,AlSat-1N,AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Navigation/Technology,NA,LEO,Sun-Synchronous,0,661,698,0.00262,98.2,98.3,10,NA,NA,9/26/16,NA,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Technology demonstration satellite for Algerian students.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/26/16,2016,2016
62,62,62,Alsat-2A (Algeria Satellite 2A),Alsat-2A,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation/Science,Optical Imaging,LEO,Sun-Synchronous,0,672,674,0.000142,98.1,98.2,130,NA,NA,7/12/10,5,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/12/10,2010,2010
63,63,63,Amazonas-2,Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communication,NA,GEO,NA,-61,35767,35805,0.000451,0.03,1436.08,5465,NA,"15,300",10/1/09,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/1/09,2009,2009
64,64,64,Amazonas-3,Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communication,NA,GEO,NA,-61,35781,35791,0.000119,0.03,1436.05,6265,2778,"14,000",2/7/13,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/7/13,2013,2013
65,65,65,Amazonas-4A,Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communication,NA,GEO,NA,-61,35784,35795,0.00013,0.08,1436.24,2938,NA,NA,3/22/14,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,Suffered a power malfunction shortly after entering orbit; will affect capacity.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/22/14,2014,2014
66,66,66,Amazonas-5,Amazonas-5,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communication,NA,GEO,NA,-61,35785,35789,4.74E-05,0.04,1436.11,5900,NA,NA,9/12/17,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-053A,42934,"34 Ka-band, 24 Ku-band",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/12/17,2017,2017
67,67,67,"AMC-1 (Americom 1, GE-1)",AMC-1,USA,USA,SES S.A.,Commercial,Communication,NA,GEO,NA,-129.15,35772,35800,0.000332,0.03,1436.1,2783,1600,"6,500 (EOL)",9/8/96,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/8/96,1996,1996
68,68,68,"AMC-11 (Americom-11, GE 11)",AMC-11,USA,USA,SES S.A.,Commercial,Communication,NA,GEO,NA,-130.93,35774,35797,0.000273,0.04,1436.07,2340,2316,"6,500 (EOL)",5/19/04,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/19/04,2004,2004
69,69,69,AMC-15 (Americom-15),AMC-15,USA,USA,SES S.A.,Commercial,Communication,NA,GEO,NA,-105.04,35777,35795,0.000213,0.04,1436.08,4200,NA,NA,10/14/04,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/14/04,2004,2004
70,70,70,AMC-16 (Americom-16),AMC-16,USA,USA,SES S.A.,Commercial,Communication,NA,GEO,NA,-84.98,35780,35793,0.000154,0.02,1436.1,4312,NA,NA,12/17/04,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/17/04,2004,2004
71,71,71,AMC-18 (Americom 18),AMC-18,USA,USA,SES S.A.,Commercial,Communication,NA,GEO,NA,-104.97,35773,35800,0.00032,0.06,1436.1,2081,918,NA,12/8/06,15,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/8/06,2006,2006
72,72,72,"AMC-2 (Americom 2, GE-2)",AMC-2,USA,USA,SES S.A.,Commercial,Communication,NA,GEO,NA,-100.98,35774,35798,0.000285,0.05,1436.1,2648,1600,"6,500 (EOL)",1/30/97,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/30/97,1997,1997
73,73,73,AMC-21 (Americom 21),AMC-21,United Kingdom,USA,SES S.A.,Commercial,Communication,NA,GEO,NA,-124.86,35778,35793,0.000178,3,1436.1,2500,NA,"5,000",8/14/08,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/14/08,2008,2008
74,74,74,"AMC-4 (Americom-4, GE-4)",AMC-4,USA,USA,SES S.A./Gogo,Commercial,Communication,NA,GEO,NA,-100.99,35781,35791,0.000119,0.01,1436.1,3909,2500,NA,11/13/99,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/13/99,1999,1999
75,75,75,"AMC-6 (Americom-6, GE-6)",AMC-6,USA,USA,SES S.A.,Commercial,Communication,NA,GEO,NA,-71.98,35778,35795,0.000202,0.05,1436.12,3901,2500,NA,10/22/00,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/22/00,2000,2000
76,76,76,"AMC-8 (Americom-8, GE-8, Aurora 3)",AMC-8,USA,USA,SES S.A.,Commercial,Communication,NA,GEO,NA,-139,35773,35798,0.000297,0.03,1436.07,2015,919,"3,300",12/19/00,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.orbcomm.com,http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html,http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html,NA,NA,NA,JMSatcat803,12/19/00,2000,2000
77,77,77,AmGU-1 (AmurSat-1),AmGU-1,Russia,Russia,Moscow State University,Civil,Space Observation/Science,NA,LEO,Sun-Synchronous,0,514,547,0.00239,97.5,95.2,4,NA,NA,7/5/19,NA,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038J,44394,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/5/19,2019,2019
78,78,78,Amos 17,Amos 17,NR (12/20),Israel,Space-Communication Ltd.,Military/Commercial,Communication,NA,GEO,NA,17,35777,35793,0.00019,0,1436.04,6500,NA,NA,8/6/19,20,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2019-050A,44479,Replaces Amos 5 which failed in 2015.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/6/19,2019,2019
79,79,79,Amos 3,Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communication,NA,GEO,NA,-3.99,35783,35789,7.12E-05,0.04,1436.1,NA,NA,NA,4/28/08,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"15 transponders, Ku and Ka bands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/28/08,2008,2008
80,80,80,Amos 4,Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communication,NA,GEO,NA,65,35633,35796,0.00194,0.01,1432,NA,NA,NA,8/31/13,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/31/13,2013,2013
81,82,82,"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",ANASIS-II,NR (12/20),South Korea,Agency for Defense Development,Military,Communication,NA,GEO,NA,115.9,35781,35792,0.00013,0.01,1436.1,NA,NA,NA,7/20/20,15,Airbus Defense and Space,France/UK/Germany/Spain,Cape Canaveral,Falcon 9,2020-048A,45920,First South Korean military satellite.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/20/20,2020,2020
82,83,83,ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),ANDESITE Mule,USA,USA,ANDESITE - Boston University,Civil,Space Observation/Science,NA,LEO,Sun-Synchronous,0,582,600,0.00129,97.7,96.5,9,NA,NA,6/13/20,NA,Boston University,USA,Rocket Lab Launch Complex 1,Electron,2020-037D,45726,Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/13/20,2020,2020
83,84,84,ANGELS (Argos Neo on a Generic Economical and Light Satellite),ANGELS,France,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communication,NA,LEO,Sun-Synchronous,0,509,524,0.00109,97.4,94.9,18,NA,NA,12/18/19,NA,CNES,ESA,Guiana Space Center,Soyuz,2019-092D,44876,"Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/18/19,2019,2019
84,85,85,Anik F1,Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communication,NA,GEO,NA,-107.27,35778,35793,0.000178,0.02,1436.08,4710,2950,"15,500 (EOL)",11/21/00,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/21/00,2000,2000
85,86,86,Anik F1R,Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communication,NA,GEO,NA,-107.3,35777,35795,0.000213,0.02,1436.1,4500,NA,"10,000",9/9/05,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/9/05,2005,2005
86,87,87,Anik F2,Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communication,NA,GEO,NA,-111.07,35781,35790,0.000107,0.01,1436.08,5910,3805,"16,000",7/18/04,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/18/04,2004,2004
87,88,88,Anik F3,Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communication,NA,GEO,NA,-118.69,35778,35794,0.00019,0.01,1436.1,4715,NA,"17,500",4/9/07,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/9/07,2007,2007
